?cls	?def	?xrefs
<http://purl.obolibrary.org/obo/CHMO_0002615>	"Microscopy where an electron-transparent specimen is bombarded with a finely focused (<10 nm diameter) electron beam with an acceleration voltage 50–150 kV under vacuum and the intensities of the transmitted electrons are measured. A diffracted beam harmonic (a 'weak beam') is used rather than the diffracted beam itself, allowing μch higher resolution to be obtained."	
<http://purl.obolibrary.org/obo/CHMO_0002771>	"A preparative step where the concentration of one component is increased."	
<http://purl.obolibrary.org/obo/CHMO_0001343>	"A synthesis method which consists of depositing a monocrystalline film (from a molecular beam of organometallic precursors) on a monocrystalline substrate under high vacuum (<10^{-8} Pa)."	
<http://purl.obolibrary.org/obo/CHMO_0001712>	"A detection method that is sensitive to compounds containing C–H bonds. An electric current is passed through a tiny coil of platinum wire embedded in a catalytic ceramic bead (heated to 500 °C by the coil). A flow of air carries the sample to the bed and when a hydrogen or a hydrocarbon molecule impacts the hot coil, it combusts on the surface raising the temperature and resistance of the platinum wire. The resistance change is then measured."	
<http://purl.obolibrary.org/obo/CHMO_0000192>	"A method for determining structure by measuring the change in direction or energy of scattered neutrons. Neutrons are scattered by the atomic nuclei in the sample, and suffer a loss of kinetic energy during collisions."	
<http://purl.obolibrary.org/obo/CHMO_0001348>	"A synthesis method which consists of depositing a monocrystalline film, from organometallic vapour-phase precursors, on a monocrystalline substrate."	
<http://purl.obolibrary.org/obo/CHMO_0002367>	"The process of transferring a microlitre amount of an ionisable substance from an aqueous phase to another aqueous phase, via an organic phase, by performing simultaneous extraction and back-extraction between the phases."	
<http://purl.obolibrary.org/obo/CHMO_0001905>	"A solid sample is dissolved in a common (organic or inorganic) solvent then injected into a supercritical fluid (held under pressure) resulting in a large decrease in solution density. This effect leads to the reduction in solubility of the solid and precipitation."	
<http://purl.obolibrary.org/obo/CHMO_0002741>	"A function which is realized as elution."	
<http://purl.obolibrary.org/obo/CHMO_0001356>	"A synthesis technique where vaporized molecules or atoms condense on a surface, forming a thin layer. The process is purely physical; no chemical reaction occurs at the surface."	
<http://purl.obolibrary.org/obo/CHMO_0002259>	"Column chromatography where anions are retained by positively charged functional groups that have a positive charge only at high pH, such as amine groups, in the stationary phase."	
<http://purl.obolibrary.org/obo/CHMO_0001834>	"A method where a sample mixture is first separated by nanoflow liquid chromatography (flow rate of nL min-1) before being converted into ions which are characterised by their mass-to-charge ratio and relative abundance, by two mass spectrometers in series."	
<http://purl.obolibrary.org/obo/CHMO_0001994>	"A piece of apparatus that measures surface profiles by dragging a (diamond) stylus across the sample surface. A feedback loop is used to maintain a fixed relationship between the stylus and surface during scanning."	
<http://purl.obolibrary.org/obo/CHMO_0001861>	"A pulse sequence used to selectively resolve the signals from two coupled nuclei, see J. Am. Chem. Soc., (1982), 104, pg 4286."	
<http://purl.obolibrary.org/obo/CHMO_0002174>	"A detection method where the sample is converted into gaseous ions which are characterised by their mass-to-charge ratio and relative abundance."	
<http://purl.obolibrary.org/obo/CHMO_0002426>	"A piece of apparatus that maintains the current through an electrochemical cell at a preset value."	
<http://purl.obolibrary.org/obo/CHMO_0000166>	"A method for determining structure by measuring the change in direction or energy of scattered visible light. Light is scattered by the electrons surrounding the atomic nuclei in the sample."	
<http://purl.obolibrary.org/obo/CHMO_0000633>	"Spectroscopy where the sample absorbs radiation from the infrared region (0.78–1000 μm) with sufficient energy to cause photodissociation by the absorption of two or more photons."	
<http://purl.obolibrary.org/obo/CHMO_0002034>	"Spectroscopy where the intensity of a gamma-rays beam transmitted through a solid sample containing 151Eu nuclei is detected."	"FIX:0000736"
<http://purl.obolibrary.org/obo/CHMO_0001658>	"The physical process of converting an atom or molecule into an ion by removing electrons."	
<http://purl.obolibrary.org/obo/CHMO_0000046>	"An electrochemical technique where the analyte of interest is first adsorbed onto the working electrode before being removed or 'stripped'. During removal the cell current is measured as a function of time and as a function of the potential between the indicator and reference electrodes."	
<http://purl.obolibrary.org/obo/OBI_0000398>	"An image creation device is a device which captures a digitized image of an object"@en	
<http://purl.obolibrary.org/obo/CHMO_0000846>	"A plot of chemical shift vs. intensity for sulfur-33 nuclei obtained by measuring the effect of the absorption of radio frequency radiation on nuclear spin-state transitions in the presence of a magnetic field."	
<http://purl.obolibrary.org/obo/CHMO_0000313>	"X-ray emission spectroscopy where the X-rays are generated by bombarding a flat polished sample with a finely focused (<10 μm diameter) beam of electrons which results in the ionisation of the inner shells of sample atoms. The decay of the ionised states results in the emission of characteristic X-rays."	
<http://purl.obolibrary.org/obo/OBI_0000571>	"Manufacturer role is a role which inheres in a person or organization and which is realized by a manufacturing process."@en	
<http://purl.obolibrary.org/obo/CHMO_0002292>	"Spectroscopy where the resonant excitation of surface plasmons (usually on a noble metal e.g. Au or Ag surface) by radiation from the near infrared region (0.8–2 μm) is measured."	
<http://purl.obolibrary.org/obo/CHMO_0002394>	"An electrode formed by a sequence of mercury drops falling from a small aperture."	
<http://purl.obolibrary.org/obo/CHMO_0002181>	"A piece of apparatus that converts optical brightness into an electrical signal using a CCD (a semiconductor chip, which converts the intensity of light falling onto its surface at different points into a charge) and then reproduces an image of the specimen."	
<http://purl.obolibrary.org/obo/CHMO_0002727>	"A method for providing phasing necessary for X-ray crystallography information by growing a number of crystals of the sample substituted with different heavy metal atoms and analysing the X-ray data for each crystal. When the absorption edge of an atom in the crystals is close to the wavelength of the incident radiation the atom becomes an anomalous scatterer. Anomalous scattering can be used for phase determination and also for determining the absolute configuration."	"FIX:0000247"
<http://purl.obolibrary.org/obo/CHMO_0001564>	"The process of removing the unprotected areas of a surface by placing it inside an electrochemical etching solution in the presence of an electric current."	
<http://purl.obolibrary.org/obo/CHMO_0000217>	"A method for determining structure by illuminating an extremely flat surface with visible light and monitoring the intensity of light reflected at the Brewster angle during the adsorption of particles on the surface."	
<http://purl.obolibrary.org/obo/OBI_0000038>	"Chromatography column in chemistry is a tube and contents (typically glass) used to purify individual chemical compounds from mixtures of compounds. It is often used for preparative applications on scales from micrograms up to kilograms."@en	
<http://purl.obolibrary.org/obo/CHMO_0001500>	"The separation of a chemical compound into elements or smaller compounds by heating it to a high temperature (approx. 1000 °C)."	
<http://purl.obolibrary.org/obo/CHMO_0002559>	"A 3D NMR experiment in which the chemical shifts of protons are correlated with the chemical shifts of spatially proximate protons (<6\\\\A) and with the shifts of the heteronuclei bound to these proximate protons."	
<http://purl.obolibrary.org/obo/CHMO_0000007>	"An electrochemical technique where the time dependence of the cell current is measured whilst the potential difference between the indicator and reference electrodes is varied as a step function."	
<http://purl.obolibrary.org/obo/CHMO_0000611>	"A type of heteronuclear NMR spectroscopy where a second frequency dimension is employed, based on the nuclear Overhauser enhancement effect in which correlations are seen between nuclei that are spatially proximate within a molecule (<=6 \\AA apart). In this technique, the saturation of a particular proton resonance (signal) perturbs the intensities of signals from spatially proximate nuclei."	
<http://purl.obolibrary.org/obo/CHMO_0001141>	"Spectroscopy where the energy states of 207Pb nuclei placed in a static magnetic field are interrogated by inducing transitions between the states via radio frequency irradiation. Each experiment consists of a sequence of radio frequency pulses with delay periods in between them."	
<http://purl.obolibrary.org/obo/CHMO_0002532>	"A detector used in scanning electron microscopy experiments to detect secondary electrons. The detector consists of a scintillator inside a Faraday cage inside the specimen chamber of the microscope. A low positive voltage is applied to the Faraday cage to attract the relatively low-energy (<50 eV) secondary electrons."	
<http://purl.obolibrary.org/obo/CHMO_0001912>	"A nuclear magnetic resonance spectrum where the nuclei of interest are aluminium-27 nuclei and in which line broadening has been averaged to zero by spinning the sample very rapidly at the magic angle (54.74° with respect to the direction of the magnetic field)."	
<http://purl.obolibrary.org/obo/CHMO_0001300>	"A plot of chemical shift vs. intensity for sodium-23 nuclei obtained by measuring the effect of the absorption of radio frequency radiation on nuclear spin-state transitions in the presence of a magnetic field."	
<http://purl.obolibrary.org/obo/CHMO_0001210>	"Column chromatography where cations are retained by negatively charged functional groups in the stationary phase."	
<http://purl.obolibrary.org/obo/CHMO_0000162>	"A method for determining structure by measuring the change in direction or energy of scattered atoms."	
<http://purl.obolibrary.org/obo/CHMO_0001639>	"A method for separating proteins from plasma by changing the conditions of the plasma by simultaneous cooling and addition of alcohol. This causes precipitation of the proteins, which can then be removed by centrifugation."	
<http://purl.obolibrary.org/obo/CHMO_0002573>	"A plot of detector signal (e.g. ion count or  absorbance) vs. retention time obtained from a chromatography experiment where the separation is caused by exclusion effects within the stationary phase and where the stationary phase is a swollen gel."	
<http://purl.obolibrary.org/obo/CHMO_0001459>	"A synthesis method which relies on the use of reversible noncovalent bonding interactions between molecular building blocks in order to preorganise them into a certain relative geometry as a prelude to covalent bond formation."	
<http://purl.obolibrary.org/obo/CHMO_0001472>	"A coating method for applying a thin (<1 μm thickness) cover to flat substrates where an excess amount of coating solution (in a volatile solvent) is placed on the substrate, which is then rotated at high speed (8000 rpm) for approximately 30 s in order to spread the solution by centripetal force. The solvent then evaporates, leaving a thin film."	
<http://purl.obolibrary.org/obo/CHMO_0000712>	"Mass spectrometry where the sample is illuminated with a laser."	
<http://purl.obolibrary.org/obo/CHMO_0000333>	"Spectroscopy where the sample is bombarded with an electron beam and the energy threshold for excitation is indicated by a sudden increase in secondary electron current."	
<http://purl.obolibrary.org/obo/CHMO_0000554>	"A method where a sample mixture is first separated by size-exclusion chromatography before being ionised in a plasma (a partially ionised gas–-such as Ar–-containing free electrons) which has been generated by electromagnetic induction, and characterised by mass-to-charge ratio and relative abundance."	
<http://purl.obolibrary.org/obo/CHMO_0002786>	"The material left behind in the filter as a result of filtration."	
<http://purl.obolibrary.org/obo/CHMO_0001039>	"An electrophoresis method which takes place in a capillary where the separation medium has specific interactions with the analytes."	
<http://purl.obolibrary.org/obo/CHMO_0001799>	"A method used to determine the ratio of the mass, deposited at the electrode surface during an electrochemical reaction, to the total charge passed through the electrode (the 'current efficiency'). The electrode surface is deposited on a piezoelectric quartz crystal, and the change in resonance frequency of the crystal is measured."	
<http://purl.obolibrary.org/obo/CHMO_0002675>	"A method for generating surface-specific electronic spectra by mixing two light beams at a surface and detecting the output beam, which has frequency equal to the sum of the two input frequencies."	
<http://purl.obolibrary.org/obo/CHMO_0002761>	"A data item that describes a non-adjustable specification of a piece of equipment."	
<http://purl.obolibrary.org/obo/CHMO_0002317>	"Column chromatography where both the mobile phase and the stationary phase are liquids. The stationary phase μst be immiscible and insoluble in the mobile phase and is usually supported on a suitable material such as a diatomaceous earth."	
<http://purl.obolibrary.org/obo/CHMO_0002122>	"A piece of apparatus, consisting of an anode (the specimen) a cathode (the source of sputter atoms or 'target') and a magnet, all held inside a vacuum chamber, which is used to coat specimens with a thin layer of atoms (e.g. Au) prior to microscopy."	
<http://purl.obolibrary.org/obo/CHMO_0002128>	"Spectroscopy where the energy states of 73Ge nuclei placed in a static magnetic field are interrogated by inducing transitions between the states via radio frequency irradiation. Each experiment consists of a sequence of radio frequency pulses with delay periods in between them."	
<http://purl.obolibrary.org/obo/CHMO_0002902>	"A measure of the efficiency by which charge is transferred in a chemical reaction."	"http://en.wikipedia.org/wiki/Faraday_efficiency"
<http://purl.obolibrary.org/obo/CHMO_0002652>	"A crystal growth method for metal dichalcogenides in which the starting materials (high purity metal and chalcogen) are placed in a quartz ampoule together with a transport agent (e.g. iodine) and heated in a furnace under a temperature gradient."	
<http://purl.obolibrary.org/obo/CHMO_0002482>	"A magic angle spinning NMR experiment in which the evolution of dipolar couplings between 19F nuclei is controlled by applying pulses at appropriate points in the rotational period, allowing the determination of the size of the coupling and, thus, yielding distance information."	
<http://purl.obolibrary.org/obo/CHMO_0000749>	"Spectroscopy where a sample is irradiated by a microwave frequency which matches an electron resonance transition, whilst nuclei in the vicinty of the unpaired eletron are excited by a radio frequency sweep."	
<http://purl.obolibrary.org/obo/OBI_0001061>	"A device that is used to apply microwave irradiation to chemical reactions."@en	
<http://purl.obolibrary.org/obo/CHMO_0001740>	"Thermal conductivity detection where the sample is the eluent from a gas chromatography separation."	
<http://purl.obolibrary.org/obo/CHMO_0002395>	"An electrode formed of a partial mercury drop of controlled geometry and surface area at the end of a capillary."	
<http://purl.obolibrary.org/obo/CHMO_0000619>	"Spectroscopy where the sound emitted when a gaseous sample is exposed to an intense laser beam, which is rapidly interrupted by a rotating slotted disk, is measured."	
<http://purl.obolibrary.org/obo/CHMO_0000609>	"A type of heteronuclear two-dimensional NMR spectroscopy incorporating a water flip-back sequence, based on the nuclear Overhauser enhancement effect in which correlations are seen between nuclei that are spatially proximate within a molecule (⩽6 Å apart)."	
<http://purl.obolibrary.org/obo/CHMO_0002719>	"Mass spectrometry that uses a system with a quadrupole mass-to-charge analyser connected to a time-of-flight mass-to-charge analyser."	"FIX:0000958"
<http://purl.obolibrary.org/obo/CHMO_0000997>	"A piece of apparatus that has the form of a tube with a diameter between 5 to 50 mm and hosts the stationary bed in chromatography."	
<http://purl.obolibrary.org/obo/CHMO_0001942>	"Spectroscopy where the Raman scattering of monochromatic light, from two lasers ('pump' and 'probe') by a sample is detected. The molecules in the sample are ionised using an ultraviolet laser in order to improve the signal-to-noise ratio of the spectrum."	
<http://purl.obolibrary.org/obo/CHMO_0001447>	"Any process in which the molecular structure of a hydrocarbon is rearranged to alter its properties (e.g. its combustion characteristics) in the presence of a metal catalyst and under a high pressure of H2 gas. An electric current is used to heat the catalyst."	
<http://purl.obolibrary.org/obo/CHMO_0000478>	"Mass spectrometry where the sample is ionised by interaction with thermal electrons (electrons with energy 0.1 eV or less)."	
<http://purl.obolibrary.org/obo/CHMO_0000034>	"An electrochemical technique where the ac component of the cell current is measured as a function of time and as a function of the ac potential between the indicator and reference electrodes. The working electrode is a dropping mercury (or other liquid conductor) electrode and unstirred solutions are used. The cell current is sampled on alternate half cycles and the potential is applied as a small amplitude square wave superimposed on a linear sweep."	
<http://purl.obolibrary.org/obo/CHMO_0002440>		
<http://purl.obolibrary.org/obo/CHMO_0001985>	"A type of pulsed EPR spectroscopy which is used to observe the electron spin echo in a paramagnetic system as a function of the time that separates the three pulses causing the echo. This technique is a powerful probe of the radial distribution of magnetic nuclear spins in the environment of the electron spins producing the echo."	
<http://purl.obolibrary.org/obo/CHMO_0002114>	"A method of separating mixtures based on differences in their volatilities in a boiling liquid mixture. As the sample mixture to be purified is heated, its vapours rise a short distance into a vertical condenser (called a 'Kugelrohr') where they are cooled by water. This technique is used for small amounts of samples with high boiling points (usually >300 °C) under greatly reduced pressure."	
<http://purl.obolibrary.org/obo/CHMO_0001968>	"Spectroscopy where a microwave frequency pulse is used to saturate the electron resonance transitions in the 57Fe nuclei of a sample, and a radio frequency pulse is used excite a nuclear transition."	
<http://purl.obolibrary.org/obo/CHMO_0000386>	"Spectroscopy where energy transfer from a metastable atom in close proximity to (~5 ) the sample gives rise to a characteristic ejected electron energy spectrum. A magnet is used to align all the electron spins parallel to the surface."	
<http://purl.obolibrary.org/obo/CHMO_0002135>	"Column chromatography where the mobile phase is a gas and the stationary phase is a chiral, high-boiling-point, thermally-stable liquid such as a chiral polysiloxane."	
<http://purl.obolibrary.org/obo/CHMO_0002198>	"A technique for purifying a crystalline sample where the impure sample is dissolved in a small volume of solvent, forming a supersaturated solution. As the temperature of the solution drops, pure crystals form, the impurities remaining dissolved in the solvent."	
<http://purl.obolibrary.org/obo/CHMO_0000662>	"Spectroscopy where the Raman scattering of monochromatic light by a sample is detected. A Stokes frequency stimulation beam is used and an anti-Stokes frequency beam is observed and the difference between the pump and the anti-Stokes beams coincides with the frequency of an electronic transition within the molecule. multiphoton excitation is used to produce a signal in which the emitted waves are coherent."	
<http://purl.obolibrary.org/obo/CHMO_0001589>	"The process of transferring a substance from a liquid to a solid phase by exposing a small fibre containing a stationary phase bonded to a silica needle (<10 μm diameter) to the headspace above the liquid sample."	
<http://purl.obolibrary.org/obo/CHMO_0001274>	"Time-of-flight mass spectrometry where there is an initial electrospray ionisation stage."	
<http://purl.obolibrary.org/obo/CHMO_0002496>	"A plot of volume of titrant vs. fluorescence intensity obtained from a fluorescence titration experiment."	
<http://purl.obolibrary.org/obo/CHMO_0002441>	"A plot of chemical shift vs. intensity for tungsten-183 nuclei obtained by measuring the effect of the absorption of radio frequency radiation on nuclear spin-state transitions in the presence of a magnetic field."	
<http://purl.obolibrary.org/obo/CHMO_0002583>	"A method for determining surface area by measuring the amount of an N2 which adsorbs onto the surface of interest (the 'sorbate'), and the subsequent amount that desorbs at a constant temperature. Regression analysis is then applied to the data, resulting in an isotherm."	
<http://purl.obolibrary.org/obo/CHMO_0002809>	"A piece of apparatus that is used to raise the temperature of a sample."	
<http://purl.obolibrary.org/obo/CHMO_0000011>	"The measurement of the conductance of a solution as a function of concentration. Measurements are made indirectly across the resistance of the solution with high-frequency alternating current (>0.1 MHz)."	
<http://purl.obolibrary.org/obo/PATO_0070060>	"A quality of a substance on which or through which electromagnetic radiation impinges or traverses with respect to radiation. This substance quality changes the quality of the incident radiation with respect to any of: intensity, direction, scatter and wavelength."	
<http://purl.obolibrary.org/obo/CHMO_0000440>	"A type of laser spectroscopy where the sample is in the form of an accelerated beam of ions which is superimposed on a resonant laser beam (a laser beam with a wavelength that corresponds to an atomic transition in the sample) and light absorption is measured."	
<http://purl.obolibrary.org/obo/CHMO_0002450>	"A two-dimensional spectrum in which the position of a peak, in one dimension, corresponds to the chemical shift of a particular nucleus and, in the other dimension, to the chemical shift of a nucleus which is J-coupled to the first."	
<http://purl.obolibrary.org/obo/CHMO_0002744>	"The role inhering in that portion of a sample which is not measured by an experiment."	
<http://purl.obolibrary.org/obo/CHMO_0000660>	"Spectroscopy where the Raman scattering of monochromatic light by a sample is detected. An anti-Stokes frequency stimulation beam is used and a Stokes frequency beam is observed and the difference between the pump and the Stokes beams coincides with the frequency of an electronic transition within the molecule. multiphoton excitation is used to produce a signal in which the emitted waves are coherent."	
<http://purl.obolibrary.org/obo/CHMO_0000607>	"A type of homonuclear NMR spectroscopy based on the nuclear Overhauser enhancement effect in which correlations are seen between nuclei that are spatially proximate within a molecule (⩽6 Å apart)."	"FIX:0000143"
<http://purl.obolibrary.org/obo/CHMO_0000679>	"Spectroscopy where the Raman scattering of visible laser light, by metal surfaces, where scattering is enhanced by the optical near field of a scanning tunnelling tip, under ultra-high vacuum is detected."	
<http://purl.obolibrary.org/obo/CHMO_0001212>	"The process of determining the quantity of a sample (an acid or base) by adding measured increments of a titrant (a base or acid) until the endpoint, at which essentially all of the sample has reacted, is reached."	
<http://purl.obolibrary.org/obo/CHMO_0002216>	"A method for preparing a polymer membrane by mixing the polymer with a substance that acts as a solvent a high temperature and casting the solution into a film. When the solution is cooled, solidification occurs."	
<http://purl.obolibrary.org/obo/CHMO_0001725>	"A detection method that is sensitive to small gas molecules (e.g. O2, N2, CO2). A low-power, pulsed DC discharge is used to ionise the sample (which is held in He carrier gas). The resulting electrons are focused toward a collector electrode and the current is measured."	
<http://purl.obolibrary.org/obo/CHMO_0002616>	"An image obtained by bombarding the specimen with a finely focused (<10 nm diameter) electron beam under vacuum and measuring the intensities of the transmitted electrons. A diffracted beam harmonic (a 'weak beam') is used rather than the diffracted beam itself, allowing μch higher resolution to be obtained."	
<http://purl.obolibrary.org/obo/CHMO_0001086>	"A type of electron microscopy where the distribution of electrons emitted by a specimen sample following excitation by UV light, synchrotron radiation or X-ray sources is used to produce an image."	
<http://purl.obolibrary.org/obo/CHMO_0001660>	"An ionisation method where charged solvent droplets which are formed by forcing the solvent through a small heated capillary (at a flow rate of 1–10 L min-1) into an electric field are directed at the sample surface. The droplets form a thin film on the sample surface, dissolving the analyte of interest."	
<http://purl.obolibrary.org/obo/CHMO_0002901>	"Angle of optical rotation of a substance that has been obtained with it dissolved in dimethyl sulfoxide."	
<http://purl.obolibrary.org/obo/CHMO_0001504>	"The chemical degradation of a sample by thermal energy in the presence of a catalyst."	
<http://purl.obolibrary.org/obo/CHMO_0002522>	"A type of fluorescence spectroscopy where a two-dimensional total fluorescence spectrum is recorded at various excitation wavelengths."	
<http://purl.obolibrary.org/obo/CHMO_0000728>	"A heteronuclear NMR experiment in which magnetisation arising from 1H nuclei is transferred to covalently bound heteronuclei, thereby enhancing the NMR signal of the heteronuclei. Selective pulses, that only excite or 'select' some of the signals in the spectrum are used in this experiment."	
<http://purl.obolibrary.org/obo/CHMO_0000363>	"Spectroscopy where the sample is bombarded with metastable atoms resulting in the emission of an electron (by resonant ionisation) and an Auger electron."	
<http://purl.obolibrary.org/obo/CHMO_0002035>	"Spectroscopy where the intensity of a gamma-rays beam transmitted through a solid sample containing 129I nuclei is detected."	
<http://purl.obolibrary.org/obo/CHMO_0001599>	"A flotation process in which the material of interest, adsorbed on the surface of gas bubbles in a liquid, is collected on an upper layer of immiscible liquid."	
<http://purl.obolibrary.org/obo/CHMO_0000861>	"A method for determining structure by directing a beam of X-rays at the sample which is heated from 25–2000 °C and detecting the positions and intensities of the diffracted X-rays as a pattern of spots on a photographic plate."	
<http://purl.obolibrary.org/obo/CHMO_0001009>	"Column chromatography where the mobile phase is a liquid, the stationary phase consists of very small particles and the inlet pressure is relatively high."	
<http://purl.obolibrary.org/obo/CHMO_0001420>	"A synthesis method that uses light to transfer a pattern to a substrate. Shuttered pulses (30–100 ms) of mask-defined UV (365 nm) light are flashed into a stationery layer of monomer inside microchannel. Objects generated by this process are 'locked' by relief structures in the channel, before being flushed out. The process is then repeated in a cyclic manner."	
<http://purl.obolibrary.org/obo/CHMO_0000472>	"Mass spectrometry where the sample is ionised by interaction (electron or proton transfer) with reagent (N2, O2, H2O) gaseous ions at low pressure. Reagent ions are produced by electron ionisation."	
<http://purl.obolibrary.org/obo/CHMO_0000114>	"Microscopy where an electric field is applied to a sharp spike (known as a 'tip') which is mounted on the end of a cantilever. The tip scans the surface of a piezoelectric specimen and the distortion of the electric field by the specimen is measured as a function of position. A feedback loop is used to maintain a fixed relationship between the tip and surface during scanning."	
<http://purl.obolibrary.org/obo/CHMO_0002182>	"A piece of apparatus, based on a semiconductor chip, which converts the intensity of light falling onto its surface at different points into a potential difference. The device contains a gain register that amplifies the electrical signal by impact ionisation."	
<http://purl.obolibrary.org/obo/UO_0000051>		
<http://purl.obolibrary.org/obo/CHMO_0001506>	"The chemical degradation of different fractions of the same sample by heating at different temperatures for different times."	
<http://purl.obolibrary.org/obo/CHMO_0002819>	"A sample preparation method where a sample is heated slowly in a gas."	
<http://purl.obolibrary.org/obo/CHMO_0000853>	"A plot of absorbance or emission vs. wavelength/wavenumber/frequency obtained through a Fourier transform of the times series of the absorption of a sample that has been excited by an infrared-frequency pulse."	
<http://purl.obolibrary.org/obo/CHMO_0000361>	"Spectroscopy where the sample is bombarded with high-energy photons resulting in the emission of an ion and an electron which are detected as a function of energy."	
<http://purl.obolibrary.org/obo/CHMO_0002726>	"A method for providing phasing necessary for X-ray crystallography information by growing a number of crystals of the sample substituted with different heavy metal atoms and analysing the X-ray data for each crystal."	
<http://purl.obolibrary.org/obo/CHMO_0000919>	"A method for determining structure by directing a beam of X-rays at the sample and detecting the positions and intensities of the diffracted X-rays as a pattern of spots on a photographic plate. The incident X-ray beam strikes the sample at a small angle (<5°) close to the critical angle of total external X-ray reflection."	
<http://purl.obolibrary.org/obo/CHMO_0001684>	"The melting of a material by high-frequency induction within a frozen shell of the same substance. This technique is used for materials which are very corrosive when molten e.g. cubic zirconia."	
<http://purl.obolibrary.org/obo/CHMO_0001260>	"The chemical degradation of a sample by thermal energy where the volatile pyrolysates are then separated by column chromatography where the mobile phase is a gas."	
